
NOTICE: Existing SQLite export found: report1.sqlite
        It is assumed file was previously exported from: report1.nsys-rep
        Consider using --force-export=true if needed.

Processing [report1.sqlite] with [/usr/local/cuda-12.9/NsightSystems-cli-2025.3.1/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)    Style                                                   Range                                                
      0.0          5433175       1687        3220.6        620.0        120      157252       12071.5  StartEnd  myelin-exec:myelinGraphLoad                                                                         
      0.0          2706217        500        5412.4       4995.5       4100       18480        1406.1  StartEnd  :myelin::autotuner::apply_tactic                                                                    
      0.0          2265546         33       68652.9      38481.0      34921      385016       86266.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/1/attention/qkv/get_weight_L224/get_const…
      0.0          1936326         33       58676.5      33231.0      29721      305054       69287.8  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/19/attention/qkv/get_weight_L224/get_cons…
      0.0          1918709         33       58142.7      33551.0      28361      242013       60648.5  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/13/attention/qkv/get_weight_L224/get_cons…
      0.0          1915941         33       58058.8      33421.0      28381      258093       61458.1  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/18/attention/qkv/get_weight_L224/get_cons…
      0.0          1915422         33       58043.1      33190.0      29561      242954       61142.1  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/17/attention/qkv/get_weight_L224/get_cons…
      0.0          1912613         33       57958.0      33181.0      29120      237703       59766.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/14/attention/qkv/get_weight_L224/get_cons…
      0.0          1901677         33       57626.6      33291.0      29751      239094       58649.5  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/16/attention/qkv/get_weight_L224/get_cons…
      0.0          1863272         33       56462.8      35270.0      30271      257923       59533.7  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/2/attention/qkv/get_weight_L224/get_const…
      0.0          1839059         33       55729.1      32871.0      29890      247183       58078.1  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/4/attention/qkv/get_weight_L224/get_const…
      0.0          1826277         33       55341.7      33851.0      30030      247684       57865.6  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/3/attention/qkv/get_weight_L224/get_const…
      0.0          1818914         33       55118.6      33401.0      28751      239053       59481.4  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/20/attention/qkv/get_weight_L224/get_cons…
      0.0          1811146         33       54883.2      33641.0      29820      247634       57082.6  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/5/attention/qkv/get_weight_L224/get_const…
      0.0          1806326         33       54737.2      32620.0      29040      243333       57136.1  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/7/attention/qkv/get_weight_L224/get_const…
      0.0          1806277         33       54735.7      33210.0      28961      239383       58491.8  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/15/attention/qkv/get_weight_L224/get_cons…
      0.0          1801466         33       54589.9      34171.0      29010      246993       57115.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/6/attention/qkv/get_weight_L224/get_const…
      0.0          1801058         33       54577.5      32920.0      29381      241474       57613.3  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/8/attention/qkv/get_weight_L224/get_const…
      0.0          1800674         33       54565.9      33051.0      29010      248983       57621.3  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/9/attention/qkv/get_weight_L224/get_const…
      0.0          1797171         33       54459.7      34511.0      29031      237524       56681.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/11/attention/qkv/get_weight_L224/get_cons…
      0.0          1796303         33       54433.4      33611.0      28050      239463       59129.7  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/21/attention/qkv/get_weight_L224/get_cons…
      0.0          1794173         33       54368.9      32670.0      28570      241104       57980.8  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/10/attention/qkv/get_weight_L224/get_cons…
      0.0          1787628         33       54170.5      32300.0      28600      239673       57792.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/12/attention/qkv/get_weight_L224/get_cons…
      0.0          1571023         33       47606.8      37151.0      32690      168692       31372.9  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/__mul___L347/elementwise_binary_L3005/broadcast_helper_L2947…
      0.0          1194645         33       36201.4      25901.0      22660      271014       42900.0  PushPop   TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/0/attention/qkv/get_weight_L224/get_const…
      0.0           807790       1053         767.1        680.0        260       12830         667.2  StartEnd  myelin-exec:myelinTensorSetMemory                                                                   
      0.0           801032       1167         686.4        530.0        180      103562        3033.5  StartEnd  myelin-exec:myelinGraphUnload                                                                       
      0.0           743591         33       22533.1       6740.0       6301      198443       45340.1  PushPop   myelin-exec:__myl_FcAdd_myl60_1                                                                     
      0.0           708441         95        7457.3       7430.0       1260       19231        2907.1  StartEnd  myelin-exec:myelinGraphResolveShapes                                                                
      0.0           513095         33       15548.3       7960.0       7310      195143       32888.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/0/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           478347         33       14495.4       4900.0       4360      100541       26195.6  PushPop   myelin-exec:__myl_FcAdd_myl62_1                                                                     
      0.0           478178         33       14490.2       4640.0       4200       92041       26146.4  PushPop   myelin-exec:__myl_FcAdd_myl98_1                                                                     
      0.0           477358         33       14465.4       4760.0       4310       95592       26153.1  PushPop   myelin-exec:__myl_FcAdd_myl96_1                                                                     
      0.0           474211         33       14370.0       4850.0       4300       91732       25867.2  PushPop   myelin-exec:__myl_FcAdd_myl88_1                                                                     
      0.0           469384         33       14223.8       4620.0       4310       99511       25618.2  PushPop   myelin-exec:__myl_FcAdd_myl76_1                                                                     
      0.0           469195         33       14218.0       4710.0       4260       91601       25427.8  PushPop   myelin-exec:__myl_FcAdd_myl86_1                                                                     
      0.0           468737         33       14204.2       5050.0       4480       87712       24928.2  PushPop   myelin-exec:__myl_FcAdd_myl60_5                                                                     
      0.0           468444         33       14195.3       4910.0       4230       92701       25279.1  PushPop   myelin-exec:__myl_FcAdd_myl92_1                                                                     
      0.0           468227         33       14188.7       4620.0       4250       92682       24816.7  PushPop   myelin-exec:__myl_FcAdd_myl78_1                                                                     
      0.0           466899         33       14148.5       4761.0       4330       97221       25489.3  PushPop   myelin-exec:__myl_FcAdd_myl66_1                                                                     
      0.0           466746         33       14143.8       4810.0       4300       97502       25597.1  PushPop   myelin-exec:__myl_FcAdd_myl64_1                                                                     
      0.0           465816         33       14115.6       4690.0       4180       91811       25713.3  PushPop   myelin-exec:__myl_FcAdd_myl100_1                                                                    
      0.0           465507         33       14106.3       4710.0       4271       94201       25340.5  PushPop   myelin-exec:__myl_FcAdd_myl82_1                                                                     
      0.0           465077         33       14093.2       4780.0       4260       92202       25355.8  PushPop   myelin-exec:__myl_FcAdd_myl90_1                                                                     
      0.0           461896         33       13996.8       4610.0       4210       92131       25752.1  PushPop   myelin-exec:__myl_FcAdd_myl94_1                                                                     
      0.0           461486         33       13984.4       4730.0       4260       93441       24603.5  PushPop   myelin-exec:__myl_FcAdd_myl70_1                                                                     
      0.0           460225         33       13946.2       4740.0       4290       89781       24830.2  PushPop   myelin-exec:__myl_FcAdd_myl80_1                                                                     
      0.0           459919         33       13936.9       4710.0       4230       97192       25100.2  PushPop   myelin-exec:__myl_FcAdd_myl68_1                                                                     
      0.0           459227         33       13916.0       4550.0       4040       91851       25649.9  PushPop   myelin-exec:__myl_FcAdd_myl92_5                                                                     
      0.0           458578         33       13896.3       4430.0       3960      100441       25998.4  PushPop   myelin-exec:__myl_FcAdd_myl94_5                                                                     
      0.0           457358         33       13859.3       4870.0       4230       93392       24797.1  PushPop   myelin-exec:__myl_FcAdd_myl74_1                                                                     
      0.0           457238         33       13855.7       4740.0       4170       93451       25209.1  PushPop   myelin-exec:__myl_FcAdd_myl84_1                                                                     
      0.0           453515         33       13742.9       4450.0       4050       82521       25035.5  PushPop   myelin-exec:__myl_FcAdd_myl84_5                                                                     
      0.0           452416         33       13709.6       4620.0       4260       92681       24771.5  PushPop   myelin-exec:__myl_FcAdd_myl72_1                                                                     
      0.0           452117         33       13700.5       4510.0       4100       82191       24235.3  PushPop   myelin-exec:__myl_FcAdd_myl96_5                                                                     
      0.0           449187         33       13611.7       4660.0       4180       81941       23907.9  PushPop   myelin-exec:__myl_FcAdd_myl74_5                                                                     
      0.0           448036         33       13576.8       4500.0       4010       84861       24514.5  PushPop   myelin-exec:__myl_FcAdd_myl78_5                                                                     
      0.0           447877         33       13572.0       4520.0       4170       82761       24495.5  PushPop   myelin-exec:__myl_FcAdd_myl100_5                                                                    
      0.0           446935         33       13543.5       4570.0       4250       82771       24083.3  PushPop   myelin-exec:__myl_FcAdd_myl90_5                                                                     
      0.0           446766         33       13538.4       4490.0       4200       81441       24476.9  PushPop   myelin-exec:__myl_FcAdd_myl98_5                                                                     
      0.0           446638         33       13534.5       4700.0       4340       90021       24248.2  PushPop   myelin-exec:__myl_FcAdd_myl62_5                                                                     
      0.0           446306         33       13524.4       4400.0       4040       86891       24526.3  PushPop   myelin-exec:__myl_FcAdd_myl82_5                                                                     
      0.0           446226         33       13522.0       4400.0       4080       86422       24653.6  PushPop   myelin-exec:__myl_FcAdd_myl86_5                                                                     
      0.0           443997         33       13454.5       4580.0       4100       81521       24082.5  PushPop   myelin-exec:__myl_FcAdd_myl88_5                                                                     
      0.0           442629         33       13413.0       4600.0       4200       85291       23887.5  PushPop   myelin-exec:__myl_FcAdd_myl70_5                                                                     
      0.0           441874         33       13390.1       4560.0       4030       84471       23973.7  PushPop   myelin-exec:__myl_FcAdd_myl66_5                                                                     
      0.0           440898         33       13360.5       4510.0       4041       84991       23725.6  PushPop   myelin-exec:__myl_FcAdd_myl76_5                                                                     
      0.0           439826         33       13328.1       4480.0       4080       85052       23999.7  PushPop   myelin-exec:__myl_FcAdd_myl64_5                                                                     
      0.0           433734         33       13143.5       4670.0       4130       82761       23330.8  PushPop   myelin-exec:__myl_FcAdd_myl68_5                                                                     
      0.0           433626         33       13140.2       4460.0       4030       81611       23751.6  PushPop   myelin-exec:__myl_FcAdd_myl80_5                                                                     
      0.0           433596         33       13139.3       4501.0       4110       82611       23679.1  PushPop   myelin-exec:__myl_FcAdd_myl72_5                                                                     
      0.0           395626       1167         339.0        280.0        120       11360         391.0  StartEnd  myelin-exec:myelinTensorGetInputMemoryBatch                                                         
      0.0           376963       1167         323.0        260.0        110        2690         225.9  StartEnd  myelin-exec:myelinTensorGetOutputMemoryBatch                                                        
      0.0           369115         33       11185.3       4870.0       4260       79641       19848.1  PushPop   myelin-exec:__myl_FcCast_myl102_8                                                                   
      0.0           364686         33       11051.1       7430.0       6930       85972       14869.6  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/1/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           312776       1167         268.0        220.0        110        2630         193.6  StartEnd  myelin-exec:myelinTensorSetOutputMemoryBatch                                                        
      0.0           295296         33        8948.4       4121.0       3740      127092       21471.9  PushPop   myelin-exec:__mye1992+__mye1980_myl84_3                                                             
      0.0           294732       1167         252.6        210.0        110        2000         162.6  StartEnd  myelin-exec:myelinTensorSetInputMemoryBatch                                                         
      0.0           293055         33        8880.5       7400.0       6410       44740        6526.8  PushPop   myelin-exec:__myl_GathCastMulMeanAddSqrtDivMulCastMul_myl14_1                                       
      0.0           271785         33        8235.9       6610.0       6070       23791        4810.7  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/14/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           268416         33        8133.8       6740.0       6370       27660        4732.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/2/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           265128         33        8034.2       6730.0       6190       25211        4458.0  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/16/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           264677         33        8020.5       6640.0       6150       25941        4250.2  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/13/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           262483         33        7954.0       6690.0       6210       28050        4590.4  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/10/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           261687         33        7929.9       6660.0       6150       25141        4220.4  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/5/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           261383         33        7920.7       6601.0       6250       27450        4582.5  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/4/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           260164         33        7883.8       6701.0       6110       24310        4301.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/9/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           260083         33        7881.3       6560.0       6170       27100        4515.4  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/6/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           259962         33        7877.6       6600.0       6241       27820        4566.6  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/3/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           259260         33        7856.4       6580.0       6170       24840        4216.7  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/18/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           257435         33        7801.1       6510.0       6070       24910        4180.9  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/19/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           257004         33        7788.0       6630.0       6010       24230        4095.7  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/11/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           256834         33        7782.8       6440.0       6130       25841        4539.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/12/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           256164         33        7762.5       6591.0       6270       23911        4057.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/17/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           254432         33        7710.1       6480.0       6230       24480        4119.5  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/7/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           254363         33        7708.0       6400.0       6150       24661        4116.6  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/21/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           253986         33        7696.5       6520.0       6120       27031        4384.5  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/20/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           252882         33        7663.1       6440.0       6090       23810        4058.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/15/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V…
      0.0           252283         33        7644.9       6440.0       6130       25761        4199.1  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/8/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.0           242203         33        7339.5       4890.0       4430       38950        7815.9  PushPop   myelin-exec:__mye1992+__mye1980_myl60_3                                                             
      0.0           200542         33        6077.0       2670.0       2490      106582       18062.6  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl92_2                                           
      0.0           200283         33        6069.2       4340.0       3930       23190        4045.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/21/attention/dense/multiply_collect_L518/multiply_c…
      0.0           192702         33        5839.5       4150.0       3820       21360        4282.3  PushPop   myelin-exec:__mye1992+__mye1980_myl74_3                                                             
      0.0           187284         33        5675.3       4290.0       3910       21630        3772.8  PushPop   myelin-exec:__mye1992+__mye1980_myl70_3                                                             
      0.0           185142         33        5610.4       4350.0       3910       21741        3779.9  PushPop   myelin-exec:__mye1992+__mye1980_myl62_3                                                             
      0.0           184431         33        5588.8       4251.0       3860       20430        3670.9  PushPop   myelin-exec:__mye1992+__mye1980_myl88_3                                                             
      0.0           184422         33        5588.5       4370.0       3910       20060        3556.2  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/1/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           183802         33        5569.8       4420.0       3980       19190        3379.0  PushPop   myelin-exec:__mye1992+__mye1980_myl64_3                                                             
      0.0           182933         33        5543.4       4090.0       3790       19431        3551.1  PushPop   myelin-exec:__mye1992+__mye1980_myl94_3                                                             
      0.0           182624         33        5534.1       4130.0       3840       19721        3490.5  PushPop   myelin-exec:__mye1992+__mye1980_myl66_3                                                             
      0.0           182133         33        5519.2       4140.0       3760       19610        3336.1  PushPop   myelin-exec:__mye1992+__mye1980_myl98_3                                                             
      0.0           181991         33        5514.9       4200.0       3810       21111        3582.4  PushPop   myelin-exec:__mye1992+__mye1980_myl72_3                                                             
      0.0           181521         33        5500.6       4210.0       3730       21060        3572.1  PushPop   myelin-exec:__mye1992+__mye1980_myl96_3                                                             
      0.0           181253         33        5492.5       4191.0       3700       20180        3407.2  PushPop   myelin-exec:__mye1992+__mye1980_myl80_3                                                             
      0.0           179322         33        5434.0       4230.0       3880       20900        3563.2  PushPop   myelin-exec:__mye1992+__mye1980_myl68_3                                                             
      0.0           178592         33        5411.9       4170.0       3710       19000        3166.4  PushPop   myelin-exec:__mye1992+__mye1980_myl90_3                                                             
      0.0           178434         33        5407.1       4180.0       3690       17141        3098.7  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/19/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           178241         33        5401.2       4120.0       3590       20151        3437.9  PushPop   myelin-exec:__mye1992+__mye1980_myl86_3                                                             
      0.0           177833         33        5388.9       4150.0       3801       19920        3410.2  PushPop   myelin-exec:__mye1992+__mye1980_myl92_3                                                             
      0.0           176112         33        5336.7       4010.0       3720       20211        3498.8  PushPop   myelin-exec:__mye1992+__mye1980_myl100_3                                                            
      0.0           176083         33        5335.8       4190.0       3720       20291        3528.3  PushPop   myelin-exec:__mye1992+__mye1980_myl76_3                                                             
      0.0           176062         33        5335.2       4120.0       3770       17140        3128.8  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/21/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           175081         33        5305.5       4070.0       3690       19920        3502.4  PushPop   myelin-exec:__mye1992+__mye1980_myl78_3                                                             
      0.0           174060         33        5274.5       4150.0       3700       19910        3352.9  PushPop   myelin-exec:__mye1992+__mye1980_myl82_3                                                             
      0.0           172462         33        5226.1       4200.0       3820       17220        2941.7  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/2/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           170492         33        5166.4       4010.0       3690       16910        2924.0  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/4/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           170342         33        5161.9       4010.0       3640       17271        3093.2  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/10/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           170231         33        5158.5       4160.0       3830       14350        2497.6  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/3/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           168996         33        5121.1       4100.0       3690       16761        2851.6  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/5/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           167924         33        5088.6       3990.0       3670       18630        3149.0  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/6/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           167922         33        5088.5       4110.0       3680       16020        2743.1  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/14/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           167433         33        5073.7       3990.0       3680       18081        3040.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/8/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           167180         33        5066.1       4020.0       3670       16550        2781.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/12/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           166831         33        5055.5       4030.0       3680       15710        2648.6  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/17/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           166560         33        5047.3       3910.0       3620       19920        3336.1  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/20/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           166396         33        5042.3       4060.0       3710       16430        2773.4  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/7/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           166122         33        5034.0       4070.0       3690       16790        2988.5  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/9/attention/qkv/multiply_collect_L286/multiply_and_…
      0.0           165966         33        5029.3       4040.0       3660       14370        2598.5  PushPop   myelin-exec:__mye2084+__mye2072_myl102_3                                                            
      0.0           164663         33        4989.8       3900.0       3571       17311        2876.9  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/16/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           164103         33        4972.8       3980.0       3560       15370        2644.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/11/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           163703         33        4960.7       3940.0       3620       17490        2973.2  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/18/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           163262         33        4947.3       4010.0       3680       16740        2837.5  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/13/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           162663         33        4929.2       4000.0       3650       15450        2584.3  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/15/attention/qkv/multiply_collect_L286/multiply_and…
      0.0           154070         33        4668.8       3840.0       3500       12690        2153.9  PushPop   myelin-exec:LLaMAForCausalLM/transformer/layers/21/mlp/proj/multiply_collect_L518/multiply_collect_…
      0.0           119742         33        3628.5       3260.0       2860        7400        1093.1  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl60_2                                           
      0.0           110040         33        3334.5       2800.0       2500       10290        1480.0  PushPop   myelin-exec:__myl_SiluMul_myl68_4                                                                   
      0.0           106162         33        3217.0       3000.0       2670        5900         699.2  PushPop   myelin-exec:__myl_SiluMul_myl60_4                                                                   
      0.0           104462         33        3165.5       2790.0       2460        7131         989.5  PushPop   myelin-exec:__myl_SiluMul_myl76_4                                                                   
      0.0           101890         33        3087.6       2920.0       2630        4990         535.4  PushPop   myelin-exec:__myl_AddSqrtDivMulCastMulAddGath_myl102_7                                              
      0.0           101741         33        3083.1       2900.0       2510        4610         533.6  PushPop   myelin-exec:__myl_AddCastMulMean_myl102_6                                                           
      0.0           101651         33        3080.3       2830.0       2520        6230         705.1  PushPop   myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulCastMul_myl102_2                                       
      0.0           101640         33        3080.0       2690.0       2520        8000        1051.8  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl62_6                                           
      0.0           100852         33        3056.1       2810.0       2540        5491         641.1  PushPop   myelin-exec:__myl_SiluMul_myl102_4                                                                  
      0.0            99110         33        3003.3       2820.0       2550        5100         555.1  PushPop   myelin-exec:__myl_SiluMul_myl96_4                                                                   
      0.0            98983         33        2999.5       2750.0       2470        5260         575.1  PushPop   myelin-exec:__myl_SiluMul_myl80_4                                                                   
      0.0            98752         33        2992.5       2780.0       2460        6320         733.1  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl68_2                                           
      0.0            98330         33        2979.7       2740.0       2420        4950         616.5  PushPop   myelin-exec:__myl_SiluMul_myl72_4                                                                   
      0.0            98253         33        2977.4       2820.0       2500        5260         605.5  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl80_2                                           
      0.0            98121         33        2973.4       2720.0       2460        5960         714.2  PushPop   myelin-exec:__myl_SiluMul_myl84_4                                                                   
      0.0            98061         33        2971.5       2720.0       2440        4510         572.9  PushPop   myelin-exec:__myl_SiluMul_myl62_4                                                                   
      0.0            97990         33        2969.4       2750.0       2410        5300         685.5  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl62_2                                           
      0.0            97913         33        2967.1       2780.0       2550        4150         488.3  PushPop   myelin-exec:__myl_SiluMul_myl98_4                                                                   
      0.0            97833         33        2964.6       2700.0       2380        5050         633.8  PushPop   myelin-exec:__myl_CastMulMeanAddSqrtDivMulCastMul_myl64_2                                           
